subject	activity	actid	tbodyaccmeanxmean	tbodyaccmeanymean	tbodyaccmeanzmean	tgravityaccmeanxmean	tgravityaccmeanymean	tgravityaccmeanzmean	tbodyaccjerkmeanxmean	tbodyaccjerkmeanymean	tbodyaccjerkmeanzmean	tbodygyromeanxmean	tbodygyromeanymean	tbodygyromeanzmean	tbodygyrojerkmeanxmean	tbodygyrojerkmeanymean	tbodygyrojerkmeanzmean	tbodyaccmagmeanmean	tgravityaccmagmeanmean	tbodyaccjerkmagmeanmean	tbodygyromagmeanmean	tbodygyrojerkmagmeanmean	fbodyaccmeanxmean	fbodyaccmeanymean	fbodyaccmeanzmean	fbodyaccmeanfreqxmean	fbodyaccmeanfreqymean	fbodyaccmeanfreqzmean	fbodyaccjerkmeanxmean	fbodyaccjerkmeanymean	fbodyaccjerkmeanzmean	fbodyaccjerkmeanfreqxmean	fbodyaccjerkmeanfreqymean	fbodyaccjerkmeanfreqzmean	fbodygyromeanxmean	fbodygyromeanymean	fbodygyromeanzmean	fbodygyromeanfreqxmean	fbodygyromeanfreqymean	fbodygyromeanfreqzmean	fbodyaccmagmeanmean	fbodyaccmagmeanfreqmean	fbodybodyaccjerkmagmeanmean	fbodybodyaccjerkmagmeanfreqmean	fbodybodygyromagmeanmean	fbodybodygyromagmeanfreqmean	fbodybodygyrojerkmagmeanmean	fbodybodygyrojerkmagmeanfreqmean	angletbodyaccmeangravitymean	angletbodyaccjerkmeangravitymeanmean	angletbodygyromeangravitymeanmean	angletbodygyrojerkmeangravitymeanmean	anglexgravitymeanmean	angleygravitymeanmean	anglezgravitymeanmean	tbodyaccstdxmean	tbodyaccstdymean	tbodyaccstdzmean	tgravityaccstdxmean	tgravityaccstdymean	tgravityaccstdzmean	tbodyaccjerkstdxmean	tbodyaccjerkstdymean	tbodyaccjerkstdzmean	tbodygyrostdxmean	tbodygyrostdymean	tbodygyrostdzmean	tbodygyrojerkstdxmean	tbodygyrojerkstdymean	tbodygyrojerkstdzmean	tbodyaccmagstdmean	tgravityaccmagstdmean	tbodyaccjerkmagstdmean	tbodygyromagstdmean	tbodygyrojerkmagstdmean	fbodyaccstdxmean	fbodyaccstdymean	fbodyaccstdzmean	fbodyaccjerkstdxmean	fbodyaccjerkstdymean	fbodyaccjerkstdzmean	fbodygyrostdxmean	fbodygyrostdymean	fbodygyrostdzmean	fbodyaccmagstdmean	fbodybodyaccjerkmagstdmean	fbodybodygyromagstdmean	fbodybodygyrojerkmagstdmean
1	WALKING	1	NA	NA	0.277330758736842	-0.0348882654432432	-0.0503665715075472	0.141874632337931	-0.939566803085106	-0.916614768526316	-0.871417276631579	-0.244087445180556	-0.27028293997875	-0.252951782149296	0.0177465019	0.0647976256142857	0.000452922603225806	-0.00754524573015873	0.0459554407661765	-0.232041527278049	-0.241643751323529	0.12845248532069	0.00327328704918033	0.0769835030561404	0.0336361540542857	-0.171118683440506	-0.19186578645	-0.185221975951899	-0.255098707665854	-0.226266524166667	-0.2668280600875	-0.401813648	-0.445967362815506	-0.410604260698795	-0.668204742105263	-0.652078501568421	-0.642737477989247	-0.31524141546493	-0.347825098925316	-0.391498734508642	-0.656331619354839	-0.663690725414894	-0.739916654180851	-0.689641714326316	-0.592855819728261	-0.458945724606383	-0.512126943104651	-0.268540111012987	-0.318313052635135	-0.229947257693333	-0.20011256067439	-0.296829238276316	-0.245575017862025	-0.280029242242857	-0.226730043827381	-0.0239198433606579	-0.0918747569125263	-0.242047730157895	0.0645958717595385	0.0302357356226415	0.0989240218453125	-0.869751992139785	-0.8083805562	-0.617664569047619	-0.240021302768293	-0.269495654	-0.186137650342029	0.0384520278081967	0.0240862962710145	-0.0265390167589855	-0.0205175447571429	-0.00548459496896552	-0.216360582362651	-0.229912832419753	0.203471269694915	-0.00709019021694915	0.0190331274953846	-0.00388251895454545	-0.185135550461538	-0.171513358277917	-0.101135565133333	-0.672224753935484	-0.717037093774194	-0.699599004468085	-0.677631084715789	-0.704198337789474	-0.548066334348421	-0.471684084593407
1	WALKING_UPSTAIRS	2	NA	NA	0.255461689622641	-0.0749318801054054	-0.0339466675	-0.0513367269864865	-0.56000344988	-0.792525522745098	-0.775673853769231	-0.561045724693878	-0.517177029361702	-0.528260377857143	-0.075458413725	-0.129124747609756	-0.0794555776485714	-0.0606446186571429	-0.0819503336666667	-0.453412508365385	-0.501703054489796	0.0382248211015625	-0.00439039248484848	0.0634883092058823	-0.0171641520756757	-0.361176502875	-0.256006768659091	-0.223302111902439	-0.049791668752381	-0.114725297818182	-0.0422555817056818	-0.425636852386364	-0.375851003066667	-0.35209036902439	-0.778098583584906	-0.764107137169811	-0.831477611698113	-0.644640496037736	-0.68121821509434	-0.672500436538462	-0.881360937358491	-0.924537862830189	-0.92804305	-0.606274283137255	-0.580408303533333	-0.616197682918367	-0.527416918723404	-0.310459605	-0.416276913444444	-0.407448020769231	-0.279281619774468	-0.323200441756757	-0.17404466142093	-0.265954986357143	-0.174165470051282	-0.0292829607533333	-0.0851857408511321	-0.312943463830189	-0.0258846092685714	0.11039144716129	0.0534218852307692	-0.850242066153846	-0.754970196862745	-0.78145711344	-0.314433968	-0.149400122777778	-0.080381876	-0.0295195245833333	-0.0348092304029412	-0.0387110368888889	-0.0301198279444444	-0.115485073837838	-0.578488616068182	-0.609776987073171	0.177486427045556	-0.05351573555	-0.101041593709302	-0.188406529659091	-0.274151754046667	-0.241586544581818	-0.284306495232558	-0.79426729754717	-0.810396263396226	-0.824155763018868	-0.876261866037736	-0.933595483076923	-0.457037776833333	-0.528887451777778
1	WALKING_DOWNSTAIRS	3	NA	NA	0.289188320408163	0.0179100486827586	0.043506997483871	0.0265618004666667	-0.68968405806383	-0.843708442888889	-0.685116169795918	-0.300832739785366	-0.219767187318421	-0.150952761868421	0.0780394848060606	0.0545856471428571	0.05884944075	-0.0723850050625	0.00170401752352941	-0.262439586152174	-0.250846262048718	0.1597933184	0.131795308548387	0.0167264126484848	0.039086262190469	-0.0161678629789474	-0.0382158732162162	-0.0533287330742857	-0.212640069109302	-0.267898147512195	-0.241470875621622	-0.26662730723575	-0.251565612810811	-0.218058533	-0.555419966420833	-0.622766936191489	-0.659964460204082	-0.506721428141667	-0.522399432729167	-0.521881706391304	-0.54704844350625	-0.681994701914894	-0.6945461073125	-0.706018699795918	-0.681894670229167	-0.593172594	-0.560242512469388	-0.425098091170732	-0.303751340128889	-0.428889849627907	-0.371061701631579	-0.381779381137778	-0.429383301875	-0.355511556352273	-0.431008171554054	-0.0222363954285714	-0.0706313127632653	-0.0851345751607143	0.0886898121072414	0.103174977140625	0.0114344525333333	-0.838006779387755	-0.851064579979167	-0.768177701914894	-0.136946055358333	-0.0766640590269444	-0.044570188296875	-0.04157828003125	-0.0132485765955882	-0.0883842886666667	-0.000827016351515151	-0.00986504459375	-0.278986535666667	-0.280376357307692	0.214444588645161	0.0923551136103448	0.0690385111322581	0.0100999356117647	-0.14887520927027	-0.0422247832823529	-0.0937737545348837	-0.648125766595745	-0.629553207061225	-0.679831264583333	-0.638208271956522	-0.653789106875	-0.662795053829787	-0.5963982003125
1	SITTING	4	NA	-0.041701306	0.267823193065217	0.0962393302033333	0.0216678780657895	-0.0798138162307692	-0.2814469075	-0.543862953804348	-0.854889298409091	-0.932174472374468	-0.985525956595745	-0.983207094772727	0.0837317026451613	0.09651912564	0.0599909142988571	-0.0924091520766667	0.0806228896666667	-0.909415470444444	-0.642060567804878	0.0815063887071429	0.098077905	0.099127274125	-0.0290910478666667	-0.698202422711111	-0.78720443514	-0.831534419820513	-0.610379231069231	-0.531068523722222	-0.429560727853659	-0.860350663111111	-0.841665818181818	-0.762052514744186	-0.99344250106383	-0.995071254255319	-0.99262558106383	-0.944941162888889	-0.89032699355	-0.910797211777778	-0.998593164680851	-0.984531651276596	-0.980117165957447	-0.977664413404255	-0.941536169361702	-0.802502600488889	-0.69552260195122	-0.318587748648649	-0.557535870086842	-0.607545074619048	-0.68207642702439	-0.730700631816667	-0.7627550502	-0.935274137619048	-0.862414692489362	-0.0114769110885366	-0.0879914387173913	-0.894639182044444	0.160614102785185	0.144156763222857	-0.0591987810742424	-0.841893233913043	-0.877433267361702	-0.827152994802222	-0.846221295	-0.68574978	-0.062126758	-0.0284566651392857	0.0499983856514286	-0.034328034759375	0.0910084305266667	-0.0739746275821429	-0.855538984116279	-0.692378965909091	0.1590769365916	-0.179093077741176	-0.244915434971429	-0.243606927585294	-0.5800271668	-0.492894452325	-0.549481631225	-0.990117884042553	-0.99037042106383	-0.99494063212766	-0.999587117234043	-0.977142167659575	-0.935430462851064	-0.65009423197561
1	STANDING	5	NA	NA	0.278917629056604	0.205226478413793	0.0517741935547619	-0.0475194780458333	-0.930864712075472	-0.954805123076923	-0.876133722365385	-0.753881861190476	-0.39905897	-0.0851718188571429	0.090318082765625	0.0574135008333333	0.0842666600596875	0.0629705443179487	-0.0110828427802778	-0.871521797959184	-0.950158758679245	0.100158331752424	-0.100158167751351	-0.263395715564103	-0.3782365503125	-0.731034771435897	-0.500123974088889	-0.412978439351351	-0.696328873489796	-0.753460295673077	-0.855015074849057	-0.448880534384615	-0.372620203576316	-0.319322544745556	-0.998344602264151	-0.99680469754717	-0.99674768490566	-0.545450238083333	-0.562717443634146	-0.38620651085	-0.99840457509434	-0.986655637358491	-0.988461908301887	-0.960767816226415	-0.929486124339623	-0.416077605695556	-0.29841041968913	-0.969284550784314	-0.96415512754717	-0.995738082115385	-0.978031458301887	-0.999894935283019	-0.999930609433962	-0.999940950188679	-0.999858098113208	-0.0179727781862745	-0.107199208962264	-0.961057608735849	0.188781420311765	0.0866574519571429	0.0901581313408571	-0.814176075306122	-0.580677776666667	-0.29165954695641	0.382041046153846	0.631880486969697	0.532665112692308	0.0225010438372093	-0.0476851411842105	-0.0513487010780488	-0.0311764489914286	-0.0529273838	-0.808010406744186	-0.909391405660377	0.130496417552	-0.415481916452381	-0.490923897912245	-0.637852625985714	-0.937947228461538	-0.927366059056604	-0.957286518679245	-0.995600311698113	-0.992685104339623	-0.99260176245283	-0.997389271509434	-0.985803361320755	-0.930278050943396	-0.38759626475
1	LAYING	6	NA	-0.198887642333333	0.231349238541667	0.135683054111111	0.0590294316315789	0.0111464718518519	-0.698423547181818	-0.705684007020833	-0.804892826521739	-0.73765252427907	-0.614705765116279	-0.50835367375	0.041632370775	0.00107082005142857	-0.020224650146875	0.00805114486571428	-0.0085089651875	-0.810127516954545	-0.666613175625	0.0484518558518519	-0.169342835594595	-0.262813246114286	-0.290258081774286	-0.576786926318182	-0.607521291707317	-0.628407247268293	-0.664557328644445	-0.628653291835714	-0.564755606577778	-0.520919297465116	-0.498017399641026	-0.47152958738	-0.971525218	-0.9877088406	-0.9873950408	-0.84332557452381	-0.723290132355556	-0.678763705666667	-0.9908693244	-0.9769114802	-0.962418588	-0.923637322040816	-0.89710985696	-0.660290319846154	-0.28296178097619	-0.644537803558	-0.710506671104255	-0.806421136170213	-0.859372229361702	-0.880390268064583	-0.911021251020408	-0.953837538	-0.9777516302	-0.024941118352381	-0.101102526197347	-0.867095339428571	0.106656657998667	0.152657854058824	0.00118667033	-0.692703308348837	-0.595777114682927	-0.475216439669048	0.00460992	0.050050165	0.231998	-0.0158847573142857	-0.109264819175	-0.230791956894444	-0.0302612966171429	-0.0362987368484848	-0.68516207452381	-0.777861729391304	0.109883383688235	-0.2982388342075	-0.442279601527778	-0.47253331048718	-0.651216147846667	-0.692613111782609	-0.739113987630435	-0.9897242856	-0.9745934056	-0.9801014384	-0.9936101274	-0.9614888132	-0.8980479316	-0.419010286763158
2	WALKING	1	NA	NA	0.276426586440678	0.0646867535757576	0.153636697742857	0.0642127350744186	-0.707359873846154	-0.769775365689655	-0.874547091578947	-0.387647670142857	-0.384572672538462	-0.317409211409091	-0.00507886312195122	-0.0543750587046512	-0.0383794519861111	-0.0288554357	-0.0267605147837838	-0.398502542721429	-0.234196946595745	0.247894696526316	-0.0152890878787879	0.0940447102162162	0.0132408425564103	-0.340881584803922	-0.358716753738462	-0.319816801562745	-0.40778193426	-0.434757494372549	-0.412113875425532	-0.540290985607143	-0.448225793461538	-0.423831679833333	-0.690611120627119	-0.72098368537931	-0.749999798983051	-0.54864934990566	-0.445732209273684	-0.528035037517857	-0.712648609152542	-0.794394217966102	-0.812875173169492	-0.682931478275862	-0.596423093559322	-0.678156046551724	-0.528072371545454	-0.276894058576923	-0.277191292002326	-0.1887520503	-0.323653904588235	-0.3076859834375	-0.38999582216	-0.45299477812	-0.504109332981132	-0.0229902247619608	-0.0898730930016949	-0.378833960762712	-0.0573891073513514	-0.0102537049195652	-0.085337898627907	-0.827258323898305	-0.788628687966102	-0.731273708644068	-0.305096525625	-0.3054826066475	-0.0805976927692308	0.0193939730710811	0.0544239813542857	0.0413712416590909	-0.0131110548875	0.0269999485277778	-0.422885109222222	-0.363656780612245	0.144524242654054	-0.0235060410219512	-0.00611139019230769	-0.0312350803545455	-0.282196853108696	-0.1780057242	-0.129537970243902	-0.771336154210526	-0.763690425966102	-0.839755974035088	-0.708466329016949	-0.825997986067797	-0.646667607288136	-0.604334720208333
2	WALKING_UPSTAIRS	2	NA	NA	0.247164790395833	0.047555035	0.0242848210413793	0.05448939584375	-0.0681922905625	-0.305000529692105	-0.52218976	-0.354036987113636	-0.363649899975	-0.357218345651163	-0.130237319487179	-0.15248127836129	-0.13014625707561	0.0172477855464103	-0.000792948834375001	-0.1626270872375	-0.119385521515152	-0.0159052116206897	0.173916190413793	0.0608801198333333	0.0931223218076923	-0.148154066163811	-0.022735815275	-0.134535029964865	-0.33250147697725	-0.349121504046512	-0.452970516609756	-0.264986259385366	-0.31987206126	-0.329039848878049	-0.71750376375	-0.723323879583333	-0.717003471875	-0.554046454680851	-0.532116817166667	-0.486808688266667	-0.761892409166667	-0.733567634166667	-0.799742406041667	-0.760274602083333	-0.645292414375	-0.502079302813043	-0.5766080776	-0.3919151170525	-0.256896985555556	-0.270067324871795	-0.401246082325	-0.385129569189189	-0.283967217567568	-0.26519303485	-0.407277756202632	-0.0345543272838889	-0.108518721783333	-0.271192684854167	0.0152245435	0.041753708588	0.0725442190967742	-0.682732215191489	-0.742493038222222	-0.787850616888889	-0.387831873775	-0.386897814232558	-0.351636912189189	-0.222628427892857	0.0113755262648718	-0.135652441807692	-0.115448809985714	0.0817244203571428	-0.2947467362	-0.0658973215625	0.0989215299642857	0.1041928591	0.0833882729366667	0.107465868	-0.41034048925	-0.404521062575	-0.375259304439024	-0.696268346666667	-0.6818763275	-0.773697799166667	-0.7449740620625	-0.784350202916667	-0.66381727625	-0.522562307425532
2	WALKING_DOWNSTAIRS	3	NA	NA	0.27761534806383	-0.0407639130689655	0.12717880212931	0.0370796683945946	-0.11807017675	-0.0630010055517241	-0.192047842947368	-0.07852366838	-0.0184995087714286	-0.0944111513635294	0.119059587419355	-0.0386060711612903	0.00812075901034483	-0.181603695195122	-0.0338438533535714	-0.0682443468235294	-0.188875080018857	-0.204310902542857	0.00512288924347826	0.2152109418	0.153954553964286	0.156050649362069	0.0337799470333333	0.00323923617419355	-0.0142395114722222	-0.158364947055556	-0.125669602025	-0.0561903862324324	-0.155957585789474	-0.1340642082	-0.345342568690476	-0.421340806585366	-0.438388484470588	-0.5257760899	-0.570962472744186	-0.447886058255319	-0.348131824871795	-0.339447026763158	-0.424778926097561	-0.436343924857143	-0.434122379659574	-0.528032595909091	-0.5309775548	-0.495094910976744	-0.568945475666667	-0.541189779111364	-0.589616472795455	-0.453057900795455	-0.51868507926087	-0.518070546288889	-0.544987078045238	-0.0288067361512821	-0.0952521937531915	-0.1082891106	-0.04706566268	0.138860644225806	0.0193879497945882	-0.506992588230769	-0.605142017263158	-0.54588021817619	0.0162377300580645	0.00571619081481482	-0.000375941824242424	0.138651792310345	-0.032321965846	-0.0659532441857143	-0.270800448580645	0.0389727682333333	-0.120438748129032	-0.1315563292	-0.163096670142857	0.1033131874	0.0766334416357143	0.040335246525	-0.171090487407692	-0.251289287601071	-0.07368686655	-0.256954256681818	-0.457715205567568	-0.323735810871795	-0.430508681219512	-0.376984132871795	-0.573963115659091	-0.510525750217391
2	SITTING	4	NA	NA	0.27708735173913	0.170795117382609	0.0872172396285714	-0.01878191792	-0.940376599347826	-0.973989329565217	-0.89855257826087	-0.801358113255814	-0.813955405428571	-0.324076421818182	0.0638349635	-0.0745892448814815	0.0487047158055556	-0.0818440893371429	-0.0828354603030303	-0.83873462125	-0.902902419673913	0.07067042853125	-0.131829351722222	-0.277323833586207	-0.297218407545	-0.463293417176471	-0.312669446157895	-0.328930495375	-0.710229112863415	-0.752457978222222	-0.864850451108696	-0.52239487	-0.337817196953125	-0.239008308375	-0.994674444347826	-0.993401186304348	-0.99011041826087	-0.676385265714286	-0.365614322558824	-0.251693735708824	-0.998640110652174	-0.981206607826087	-0.978123537173913	-0.965117453695652	-0.895111054565217	-0.430131848057143	-0.437035261557273	-0.910816358369767	-0.944641730663043	-0.978729765555556	-0.969661975869565	-0.999744479347826	-0.99979230826087	-0.999707382608696	-0.99978256173913	-0.0194380147325581	-0.100973765891304	-0.92968165326087	0.153647289691304	0.0688531768794118	-0.0201254403030303	-0.886673286304348	-0.72826478327907	-0.5670092592	0.00714184807692307	0.73440710173913	0.69037044962963	-0.0468847169037037	0.04720968053125	-0.0830516254365854	-0.0342948067576923	-0.0847943737631579	-0.672032505	-0.876759225681818	0.0336138680384615	-0.540037167179487	-0.659569873166667	-0.767623232222222	-0.935048105	-0.949847611363636	-0.919468430217391	-0.988004572173913	-0.989515255434783	-0.987938855652174	-0.998331588043478	-0.973932285652174	-0.859019752222222	-0.262268039846154
